E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,210706,06/07/2021,13874A,CME ,0,138,3083467,182797,768470,189822,1357949,395468,277586,225094,392068,406946,122694,347355,13439,2776327,2791153,307140,292314,53812,13034,-8849,5404,9314,9380,-7840,26744,16673,10136,8497,18469,-3731,61557,39641,-7745,14171,100,5.9,24.9,6.2,44,12.8,9,7.3,12.7,13.2,4,11.3,0.4,90,90.5,10,9.5,551,34,29,35,166,83,114,77,92,95,42,28,27,438,384,11.8,20,21,29.8,10.4,18.2,16.8,25.2,($50 X S&P 500 INDEX),13874A,CME ,138,F20,Combined
E-MINI S&P FINANCIAL INDEX - CHICAGO MERCANTILE EXCHANGE,210706,06/07/2021,13874C,CME ,0,138,41002,2667,39202,19,32688,337,157,1340,541,11,0,0,0,36882,40267,4120,735,-356,233,-470,6,-283,0,-68,-231,-8,0,0,0,0,-343,-540,-13,184,100,6.5,95.6,0,79.7,0.8,0.4,3.3,1.3,0,0,0,0,90,98.2,10,1.8,39,5,9,.,18,.,.,4,.,.,0,0,0,29,14,56.1,66.6,69.6,94.6,56.1,66.6,69.3,94.6,($250 x S&P Select Sector Financial Index price),13874C,CME ,138,F20,Combined
E-MINI RUSSELL 2000 INDEX - CHICAGO MERCANTILE EXCHANGE,210706,06/07/2021,239742,CME ,0,239,425806,90940,55018,5880,210724,154533,37356,37400,88936,8625,4432,52668,1015,396371,404031,29435,21775,-1179,2588,-7003,886,-4219,4167,-243,1297,-216,-259,-1902,1930,-476,-2330,-1216,1151,37,100,21.4,12.9,1.4,49.5,36.3,8.8,8.8,20.9,2,1,12.4,0.2,93.1,94.9,6.9,5.1,324,27,13,6,88,48,51,45,70,32,11,22,5,220,198,17.2,19.9,29,34.6,17.2,19.4,28.4,33.4,(RUSSEL 2000 INDEX X $50),239742,CME ,239,F20,Combined
EMINI RUSSELL 1000 VALUE INDEX - CHICAGO MERCANTILE EXCHANGE,210706,06/07/2021,239744,CME ,0,239,32637,5882,31065,0,23298,482,0,1524,649,5,0,0,0,30709,32201,1928,436,-585,226,-777,0,-244,0,0,-271,244,5,0,0,0,-284,-528,-301,-57,100,18,95.2,0,71.4,1.5,0,4.7,2,0,0,0,0,94.1,98.7,5.9,1.3,29,.,8,0,14,.,0,.,.,.,0,0,0,19,11,59.4,84.8,78.5,96.2,59.4,84.8,78.5,96.2,(RUSSELL 1000 VALUE INDEX x $50),239744,CME ,239,F20,Combined
NIKKEI STOCK AVERAGE - CHICAGO MERCANTILE EXCHANGE,210706,06/07/2021,240741,CME ,0,240,16762,863,3520,0,10380,206,26,698,4907,0,1118,2527,0,13085,11186,3677,5576,272,310,-28,0,-386,0,0,468,169,0,0,-211,0,392,-70,-120,342,100,5.1,21,0,61.9,1.2,0.2,4.2,29.3,0,6.7,15.1,0,78.1,66.7,21.9,33.3,25,.,.,0,11,.,.,.,.,0,.,.,0,18,10,49.6,50.3,64.8,66.7,49.6,50.3,64.8,66.6,(NIKKEI INDEX X $5.00),240741,CME ,240,F20,Combined
NIKKEI STOCK AVERAGE YEN DENOM - CHICAGO MERCANTILE EXCHANGE,210706,06/07/2021,240743,CME ,0,240,43850,8268,4560,490,8166,4762,522,18040,4433,93,2571,708,0,38150,15568,5700,28282,2942,1040,758,114,-301,653,133,2694,1914,85,304,-800,0,4069,2857,-1127,85,100,18.9,10.4,1.1,18.6,10.9,1.2,41.1,10.1,0.2,5.9,1.6,0,87,35.5,13,64.5,55,9,9,.,11,4,5,13,5,.,.,.,0,39,25,37.3,16.7,55.1,24.6,37.3,16.7,54.1,24,(NIKKEI INDEX X JPY 500),240743,CME ,240,F20,Combined
MSCI EAFE MINI INDEX - ICE FUTURES U.S.,210706,06/07/2021,244041,ICUS,1,244,424244,39680,264349,10215,274879,64568,64121,16992,9639,778,6704,3537,0,413369,417207,10875,7037,16857,3130,6140,1628,4786,-266,8162,-1431,1368,-12,188,-378,-49,16402,16593,455,264,100,9.4,62.3,2.4,64.8,15.2,15.1,4,2.3,0.2,1.6,0.8,0,97.4,98.3,2.6,1.7,187,11,13,6,79,40,43,22,13,4,5,4,0,141,99,28.7,43.5,41.1,62.4,23.5,42.9,34.6,59.2,(MSCI EAFE INDEX X $50),244041,ICUS,244,F20,Combined
MSCI EMERGING MKTS INDEX - ICE FUTURES U.S.,210706,06/07/2021,244042,ICUS,1,244,1043998,86421,488723,3873,669435,302591,111356,85038,55761,5701,42806,49888,8537,1013167,1026430,30831,17568,14087,5505,53409,-426,6156,2962,-8830,7371,-476,1755,4718,-1520,2,16251,46876,-2164,-32789,100,8.3,46.8,0.4,64.1,29,10.7,8.1,5.3,0.5,4.1,4.8,0.8,97,98.3,3,1.7,414,27,20,8,166,67,88,56,31,25,31,16,5,328,212,16,33,24.5,50.8,14,32.8,21.4,49.1,(MSCI Emerging Markets Index x $50),244042,ICUS,244,F20,Combined
E-MINI S&P 400 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,210706,06/07/2021,33874A,CME ,0,138,43372,4557,13790,145,25324,21555,2090,2087,1910,3,0,0,0,34206,39493,9166,3879,931,635,1247,-4,235,806,-163,-423,-102,0,0,0,0,280,1784,651,-853,100,10.5,31.8,0.3,58.4,49.7,4.8,4.8,4.4,0,0,0,0,78.9,91.1,21.1,8.9,67,5,8,.,27,17,9,6,4,.,0,0,0,43,35,26.1,46.4,40.3,63.1,25.8,46.4,39.8,62.8,(S&P 400 INDEX X $100),33874A,CME ,138,F20,Combined
S&P 500 ANNUAL DIVIDEND INDEX - CHICAGO MERCANTILE EXCHANGE,210706,06/07/2021,43874A,CME ,0,438,220735,29292,169527,32965,17369,7097,3091,129064,416,7382,1057,177,0,220220,220655,515,80,1328,-1975,-805,2700,1425,0,310,-432,10,-884,0,0,0,1144,1331,184,-3,100,13.3,76.8,14.9,7.9,3.2,1.4,58.5,0.2,3.3,0.5,0.1,0,99.8,100,0.2,0,85,9,20,17,13,.,.,29,.,6,7,.,0,70,41,40.5,61.2,62.1,84.4,36.5,58.7,53.7,74.3,(S&P 500 ANNUAL DIVIDEND INDEX X $250),43874A,CME ,438,F20,Combined
