unique.Spec.Market_and_Exchange_Names.
MEXICAN PESO - INTERNATIONAL MONETARY MARKET
IOWA CORN YIELD INSURANCE - CHICAGO BOARD OF TRADE
"NATURAL GAS - KANSAS CITY BOARD OF TRADE"
EASTERN CATASTROPHE INS. QI - CHICAGO BOARD OF TRADE
JAPANESE YEN - PHILADELPHIA BOARD OF TRADE
DIAMMONIUM PHOSPHATE - CHICAGO BOARD OF TRADE
30-DAY FED FUND RATES - INTERNATIONAL MONETARY MARKET
RANDOM LENGTH LUMBER-NEW - CHICAGO MERCANTILE EXCHANGE
W. GERMAN DEUTSCHE MARK - NEW YORK FUTURES EXCHANGE
BRAZILIAN REAL - INTERNATIONAL MONETARY MARKET
DMARK/SFRANC CROSSRATE - NEW YORK COTTON EXCHANGE
S&P 500 BARRA GROWTH INDEX - INTERNATIONAL MONETARY MARKET
3-MO. EUROYEN - INTERNATIONAL MONETARY MARKET
ARGENTINE FRB BRADY BOND - INTERNATIONAL MONETARY MARKET
BRAZILIAN C BRADY BOND - INTERNATIONAL MONETARY MARKET
CORN - MIDAMERICA COMMODITY EXCHANGE
ELECTRICITY (CA-OR BORDER) - NEW YORK MERCANTILE EXCHANGE
LEAN HOGS - CHICAGO MERCANTILE EXCHANGE
MEXICO BRADY BOND - INTERNATIONAL MONETARY MARKET
ELECTRICITY (PALO VERDE) - NEW YORK MERCANTILE EXCHANGE
S&P 500 BARRA VALUE INDEX - INTERNATIONAL MONETARY MARKET
"NASDAQ-100 STOCK INDEX - INTERNATIONAL MONETARY MARKET"
SWEDISH KRONA/DMARK XRATE - NEW YORK COTTON EXCHANGE
"MILK - COFFEE, SUGAR & COCOA EXCHANGE"
EASTERN CATASTROPHE INS. SC Q - CHICAGO BOARD OF TRADE
ALBERTA NATURAL GAS - NEW YORK MERCANTILE EXCHANGE
YIELD CURVE 30-10 - CHICAGO BOARD OF TRADE
YIELD CURVE 30-2 - CHICAGO BOARD OF TRADE
MIDWESTERN CATASTROPHE INS SC - CHICAGO BOARD OF TRADE
DOW JONES TAIWAN STOCK INDEX - INTERNATIONAL MONETARY MARKET
SFRANK/DMARK CROSSRATE - NEW YORK COTTON EXCHANGE
"NATIONAL CATASTROPHE INS. SC Q - CHICAGO BOARD OF TRADE"
PORK BELLIES - CHICAGO MERCANTILE EXCHANGE
91-DAY MEXICAN T-BILLS - INTERNATIONAL MONETARY MARKET
SOYBEAN OIL - MIDAMERICA COMMODITY EXCHANGE
"BFP MILK - COFFEE, SUGAR & COCOA EXCHANGE"
28-DAY MEXICAN RATES(TIIE) - INTERNATIONAL MONETARY MARKET
BUTTER - CHICAGO MERCANTILE EXCHANGE
CRB FUTURES PRICE INDEX - NEW YORK FUTURES EXCHANGE
HIGH TECHNOLOGY INDEX - NEW YORK FUTURES EXCHANGE
"STOCK INDEX, NYSE CMP NEW - NEW YORK FUTURES EXCHANGE"
YEN/POUND XRATE - NEW YORK COTTON EXCHANGE
BONELESS BEEF TRIMMINGS(50%) - CHICAGO MERCANTILE EXCHANGE
SOUTHEASTERN CAT INS SC QTR - CHICAGO BOARD OF TRADE
CRB/BRIDGE INDEX - NEW YORK FUTURES EXCHANGE
BONELESS BEEF (90%) - CHICAGO MERCANTILE EXCHANGE
US CORN YIELD INSURANCE - CHICAGO BOARD OF TRADE
E-MINI S&P 500 STOCK INDEX - INTERNATIONAL MONETARY MARKET
DOW JONES INDUSTRIAL AVERAGE - CHICAGO BOARD OF TRADE
MILK - CHICAGO MERCANTILE EXCHANGE
WHEAT - MIDAMERICA COMMODITY EXCHANGE
SFRANC/POUND XRATE - NEW YORK COTTON EXCHANGE
DMARK/SPANISH PESETA XRATE - NEW YORK COTTON EXCHANGE
HARD AMBER DURUM WHEAT - MINNEAPOLIS GRAIN EXCHANGE
RUSSIAN RUBLE - INTERNATIONAL MONETARY MARKET
SOUTH AFRICAN RAND - INTERNATIONAL MONETARY MARKET
U.S. DOLLAR-DEUTSCHE MARK - NEW YORK FUTURES EXCHANGE
U.S. DOLLARS-JAPANESE YEN - NEW YORK FUTURES EXCHANGE
3-MO EURO CANADA TIME DEPOSITS - INTERNATIONAL MONETARY MARKET
ELECTRICITY (CINERGY) - NEW YORK MERCANTILE EXCHANGE
ELECTRICITY (ENTERGY) - NEW YORK MERCANTILE EXCHANGE
FRESH PORK BELLIES - CHICAGO MERCANTILE EXCHANGE
U.S. DOLLAR-SWISS FRANC - NEW YORK FUTURES EXCHANGE
WESTERN CAT. INS SC ANNUAL - CHICAGO BOARD OF TRADE
NEW ZEALAND DOLLARS - NEW YORK COTTON EXCHANGE
OVERNIGHT FED FUND RATES - INTERNATIONAL MONETARY MARKET
EURO FX - INTERNATIONAL MONETARY MARKET
NEW ZEALAND DOLLARS - INTERNATIONAL MONETARY MARKET
EURO/YEN CROSSRATE - NEW YORK COTTON EXCHANGE
EURO/SWEDISH KRONA XRATE - NEW YORK COTTON EXCHANGE
POUND/EURO CROSSRATE - NEW YORK COTTON EXCHANGE
U.S. DOLLAR-EURO - NEW YORK FUTURES EXCHANGE
RUSSEL 1000 STOCK INDEX FUTURE - NEW YORK FUTURES EXCHANGE
ELECTRICITY (PJM) - NEW YORK MERCANTILE EXCHANGE
3-MO. EUROYEN TIBOR - INTERNATIONAL MONETARY MARKET
EUROPEAN CURRENCY UNIT - NEW YORK COTTON EXCHANGE
EURO/SFRANK CROSSRATE - NEW YORK COTTON EXCHANGE
ALUMINUM - NEW YORK MERCANTILE EXCHANGE
"NATIONAL CATASTROPHE INS. SC A - CHICAGO BOARD OF TRADE"
E-MINI NASDAQ 100 STOCK INDEX - INTERNATIONAL MONETARY MARKET
3-MO. EUROYEN-LIBOR - INTERNATIONAL MONETARY MARKET
"BFP MILK, LARGE - COFFEE, SUGAR & COCOA EXCHANGE"
AUSSIE-KIWI XRATE - NEW YORK COTTON EXCHANGE
AUSTRALIAN DOLLARS - NEW YORK COTTON EXCHANGE
EURO NORWEGIAN KRONE XRATE - NEW YORK COTTON EXCHANGE
SFRANC/YEN CROSSRATE - NEW YORK COTTON EXCHANGE
AUSSIE-YEN XRATE - NEW YORK COTTON EXCHANGE
"BFP MILK, LARGE - COFFEE,COCOA AND SUGAR EXCHANG"
"COCOA - COFFEE,COCOA AND SUGAR EXCHANG"
"COFFEE C - COFFEE,COCOA AND SUGAR EXCHANG"
EURO/US DOLLAR - NEW YORK COTTON EXCHANGE
FRZN CONCENTRATED ORANGE JUICE - CITRUS ASSOC. OF NY COTTON EXC
"NASDAQ-100 STOCK INDEX (MINI) - INTERNATIONAL MONETARY MARKET"
RANDOM LENGTH LUMBER-80/110000 - CHICAGO MERCANTILE EXCHANGE
"SUGAR NO. 11 - COFFEE,COCOA AND SUGAR EXCHANG"
"SUGAR NO. 14 - COFFEE,COCOA AND SUGAR EXCHANG"
"STOCK INDEX FUT, EUROTOP 300 - COMMODITY EXCHANGE INC."
"BFP MILK, LARGE - COFFEE,SUGAR AND COCOA EXCHANG"
"COCOA - COFFEE,SUGAR AND COCOA EXCHANG"
"COFFEE C - COFFEE,SUGAR AND COCOA EXCHANG"
"SUGAR NO. 11 - COFFEE,SUGAR AND COCOA EXCHANG"
"SUGAR NO. 14 - COFFEE,SUGAR AND COCOA EXCHANG"
INTERNET STOCK INDEX - KANSAS CITY BOARD OF TRADE
"MILK INDEX LARGE (JM) - COFFEE,SUGAR AND COCOA EXCHANG"
FIVE-YEAR AGENCY NOTE - CHICAGO MERCANTILE EXCHANGE
TEN-YEAR AGENCY NOTE - CHICAGO MERCANTILE EXCHANGE
TEN-YEAR AGENCY NOTE - CHICAGO BOARD OF TRADE
"CRUDE OIL, LIGHT SWEET - NEW YORK MERCANTILE EXCHANGE"
FRZN PORK BELLIES - CHICAGO MERCANTILE EXCHANGE
1-MONTH LIBOR RATE - CHICAGO MERCANTILE EXCHANGE
3-MO. EUROYEN TIBOR - CHICAGO MERCANTILE EXCHANGE
3-MONTH EURODOLLARS - CHICAGO MERCANTILE EXCHANGE
AUSTRALIAN DOLLARS - CHICAGO MERCANTILE EXCHANGE
CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE
E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE
EURO FX - CHICAGO MERCANTILE EXCHANGE
JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE
"NASDAQ-100 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE"
"NASDAQ-100 STOCK INDEX (MINI) - CHICAGO MERCANTILE EXCHANGE"
NIKKEI STOCK AVERAGE - CHICAGO MERCANTILE EXCHANGE
POUND STERLING - CHICAGO MERCANTILE EXCHANGE
RUSSEL 2000 STOCK INDEX FUTURE - CHICAGO MERCANTILE EXCHANGE
S&P 400 MIDCAP STOCK INDEX - CHICAGO MERCANTILE EXCHANGE
S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE
SWISS FRANC - CHICAGO MERCANTILE EXCHANGE
GOLDMAN-SACHS COMMODITY INDEX - CHICAGO MERCANTILE EXCHANGE
S&P 500 BARRA VALUE INDEX - CHICAGO MERCANTILE EXCHANGE
INTEREST RATE SWAPS 10YR - 3MO - CHICAGO BOARD OF TRADE
"COCOA - COFFEE,SUGAR AND COCOA EXCHANGE"
"COFFEE C - COFFEE,SUGAR AND COCOA EXCHANGE"
FRZN CONCENTRATED ORANGE JUICE - CITRUS ASSOC. OF NY COTTON EXCH
"SUGAR NO. 11 - COFFEE,SUGAR AND COCOA EXCHANGE"
"DOW JONES INDUSTRIAL AVG, MID - CHICAGO BOARD OF TRADE"
DOW JONES INDUSTRIAL AVG- x $5 - CHICAGO BOARD OF TRADE
RUSSEL 2000 STOCK INDEX (MINI) - CHICAGO MERCANTILE EXCHANGE
E-MINI S&P 400 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE
OTC HENRY HUB GAS SWAP - NEW YORK MERCANTILE EXCHANGE
HENRY HUB GAS SWAP - NEW YORK MERCANTILE EXCHANGE
INTEREST RATE SWAPS 5YR - 3MO - CHICAGO BOARD OF TRADE
"COCOA - COFFEE, SUGAR AND COCOA EXCHANGE"
"COFFEE C - COFFEE, SUGAR AND COCOA EXCHANGE"
"SUGAR NO. 11 - COFFEE, SUGAR AND COCOA EXCHANGE"
"SUGAR NO. 14 - COFFEE, SUGAR AND COCOA EXCHANGE"
M-3 BASIS SWAP - NEW YORK MERCANTILE EXCHANGE
PJM ELECTRICITY MONTHLY - NEW YORK MERCANTILE EXCHANGE
MINI SOYBEANS - CHICAGO BOARD OF TRADE
NYISO ZONE A LBMP SWAP - NEW YORK MERCANTILE EXCHANGE
NYISO ZONE G LBMP SWAP - NEW YORK MERCANTILE EXCHANGE
NEW ZEALAND DOLLARS - CHICAGO MERCANTILE EXCHANGE
AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE
BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE
HEAT OIL CRACK SPRD CAL SWAP - NEW YORK MERCANTILE EXCHANGE
FRZN CONCENTRATED ORANGE JUICE - NEW YORK COTTON EXCHANGE
PG&E CITYGATE BASIS SWAP - NEW YORK MERCANTILE EXCHANGE
SUMAS BASIS SWAP - NEW YORK MERCANTILE EXCHANGE
TCO BASIS SWAP - NEW YORK MERCANTILE EXCHANGE
WAHA BASIS SWAP - NEW YORK MERCANTILE EXCHANGE
VIX FUTURES - CBOE FUTURES EXCHANGE
MICHCON BASIS SWAP - NEW YORK MERCANTILE EXCHANGE
NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE
DOMINION BASIS SWAP - NEW YORK MERCANTILE EXCHANGE
UNL GAS CRACK SPRD CAL SWAP - NEW YORK MERCANTILE EXCHANGE
EURO FX/JAPANESE YEN XRATE - NEW YORK COTTON EXCHANGE
MALIN BASIS SWAP - NEW YORK MERCANTILE EXCHANGE
HENRY HUB BASIS SWAP - NEW YORK MERCANTILE EXCHANGE
HENRY HUB PENULTIMATE GAS SWAP - NEW YORK MERCANTILE EXCHANGE
HENRY HUB INDEX SWAP - NEW YORK MERCANTILE EXCHANGE
NIKKEI STOCK AVERAGE YEN DENOM - CHICAGO MERCANTILE EXCHANGE
COCOA - NEW YORK BOARD OF TRADE
COFFEE C - NEW YORK BOARD OF TRADE
COTTON NO. 2 - NEW YORK BOARD OF TRADE
EURO FX/JAPANESE YEN XRATE - NEW YORK BOARD OF TRADE
FRZN CONCENTRATED ORANGE JUICE - NEW YORK BOARD OF TRADE
SUGAR NO. 11 - NEW YORK BOARD OF TRADE
U.S. DOLLAR INDEX - NEW YORK BOARD OF TRADE
"CRUDE OIL, BRENT - NEW YORK MERCANTILE EXCHANGE"
PERMIAN BASIS SWAP - NEW YORK MERCANTILE EXCHANGE
ISO NEW ENGLAND LMP SWAP - NEW YORK MERCANTILE EXCHANGE
NGPL TEXOK BASIS SWAP - NEW YORK MERCANTILE EXCHANGE
PJM CAL MONTH OFF PK LMP SWAP - NEW YORK MERCANTILE EXCHANGE
PJM ELECTRICITY WEEKLY - NEW YORK MERCANTILE EXCHANGE
NYISO ZONE J LBMP SWAP - NEW YORK MERCANTILE EXCHANGE
CIG BASIS SWAP - NEW YORK MERCANTILE EXCHANGE
ISO NEW ENG OFF PK LMP SWAP - NEW YORK MERCANTILE EXCHANGE
NGPL MID-CON BASIS SWAP - NEW YORK MERCANTILE EXCHANGE
VENTURA BASIS SWAP - NEW YORK MERCANTILE EXCHANGE
ALBERTA BASIS SWAP - NEW YORK MERCANTILE EXCHANGE
CHICAGO BASIS SWAP - NEW YORK MERCANTILE EXCHANGE
HOUSTON SHIP CH BASIS SWAP - NEW YORK MERCANTILE EXCHANGE
NW PIPE ROCKIES BASIS SWAP - NEW YORK MERCANTILE EXCHANGE
PANHANDLE BASIS SWAP - NEW YORK MERCANTILE EXCHANGE
SOCAL BASIS SWAP - NEW YORK MERCANTILE EXCHANGE
TRANSCO ZONE 6 BASIS SWAP - NEW YORK MERCANTILE EXCHANGE
AEP DAYTON CAL MONTH LMP SWAP - NEW YORK MERCANTILE EXCHANGE
NY RES FUEL 1.0% SULFUR SWAP - NEW YORK MERCANTILE EXCHANGE
SAN JUAN BASIS SWAP - NEW YORK MERCANTILE EXCHANGE
NEW YORK HDD - CHICAGO MERCANTILE EXCHANGE
GASOLINE BLENDSTOCK (RBOB) - NEW YORK MERCANTILE EXCHANGE
"E-MINY CRUDE OIL, LIGHT SWEET - NEW YORK MERCANTILE EXCHANGE"
"GOLD, 100 TROY OZ - CHICAGO BOARD OF TRADE"
BUTTER (CASH SETTLED) - CHICAGO MERCANTILE EXCHANGE
NORTH ILL OFF PK LMP SWAP - NEW YORK MERCANTILE EXCHANGE
HOUSTON SHP CHANNEL INDEX SWAP - NEW YORK MERCANTILE EXCHANGE
WTI CRUDE OIL FINANCIAL - NEW YORK MERCANTILE EXCHANGE
EUR SING FUEL OIL 180 CAL SWAP - NEW YORK MERCANTILE EXCHANGE
E-MINY NATURAL GAS - NEW YORK MERCANTILE EXCHANGE
EURO FX/BRITISH POUND XRATE - NEW YORK BOARD OF TRADE
GULF # 6 FUEL 3.0% SULFUR SWAP - NEW YORK MERCANTILE EXCHANGE
"SILVER, 5000 TROY OZ - CHICAGO BOARD OF TRADE"
DUBAI CRUDE OIL CALENDAR SWAP - NEW YORK MERCANTILE EXCHANGE
SING FUEL OIL 180 CAL SWAP - NEW YORK MERCANTILE EXCHANGE
NORTH ILL CAL MONTH LMP SWAP - NEW YORK MERCANTILE EXCHANGE
"MILK, Class III - CHICAGO MERCANTILE EXCHANGE"
WTI CRUDE OIL CALENDAR SWAP - NEW YORK MERCANTILE EXCHANGE
CHICAGO HDD - CHICAGO MERCANTILE EXCHANGE
NYISO ZONE A OFF PK LBMP SWAP - NEW YORK MERCANTILE EXCHANGE
SULFUR FINANCIAL INSTRUMENT - CHICAGO CLIMATE FUTURES EXCHANGE
EUR 3.5% FUEL OIL RTD CAL SWAP - NEW YORK MERCANTILE EXCHANGE
DEMARC BASIS SWAP - NEW YORK MERCANTILE EXCHANGE
S&P GSCI COMMODITY INDEX - CHICAGO MERCANTILE EXCHANGE
SING JET KERO GASOIL SPR SWAP - NEW YORK MERCANTILE EXCHANGE
SING JET KERO SWAP - NEW YORK MERCANTILE EXCHANGE
CENTRAL APPALACHIAN COAL - NEW YORK MERCANTILE EXCHANGE
NEW YORK CDD - CHICAGO MERCANTILE EXCHANGE
SOCAL NAT GAS INDEX - NEW YORK MERCANTILE EXCHANGE
COCOA - ICE FUTURES U.S.
COFFEE C - ICE FUTURES U.S.
COTTON NO. 2 - ICE FUTURES U.S.
FRZN CONCENTRATED ORANGE JUICE - ICE FUTURES U.S.
SUGAR NO. 11 - ICE FUTURES U.S.
U.S. DOLLAR INDEX - ICE FUTURES U.S.
UP DOWN GC ULSD VS HO SPR SWAP - NEW YORK MERCANTILE EXCHANGE
BRENT-DUBAI SWAP - NEW YORK MERCANTILE EXCHANGE
"NAPTHA CRACK SPR SWAP - NEW YORK MERCANTILE EXCHANGE"
CINERGY OFF PEAK LMP SWAP - NEW YORK MERCANTILE EXCHANGE
RBOB GASOLINE FINANCIAL - NEW YORK MERCANTILE EXCHANGE
E-MINI MSCI EAFE - CHICAGO MERCANTILE EXCHANGE
TRANSCO ZONE 3 SWAP - NEW YORK MERCANTILE EXCHANGE
GASOIL CRACK SPR SWAP - NEW YORK MERCANTILE EXCHANGE
SING GASOIL SWAP - NEW YORK MERCANTILE EXCHANGE
SING GASOIL/RDAM GASOIL SWAP - NEW YORK MERCANTILE EXCHANGE
BRENT FINANCIAL - NEW YORK MERCANTILE EXCHANGE
CRUDE OIL AVG PRICE OPTIONS - NEW YORK MERCANTILE EXCHANGE
CRUDE OIL CAL SPREAD OPTIONS - NEW YORK MERCANTILE EXCHANGE
EUR STYLE CRUDE OIL OPTIONS - NEW YORK MERCANTILE EXCHANGE
EUR STYLE HEATING OIL OPTIONS - NEW YORK MERCANTILE EXCHANGE
EUR STYLE NATURAL GAS OPTIONS - NEW YORK MERCANTILE EXCHANGE
"NATURAL GAS CAL SPREAD OPTIONS - NEW YORK MERCANTILE EXCHANGE"
3.5% FUEL OIL RDAM CRACK SPR - NEW YORK MERCANTILE EXCHANGE
CARBON FINANCIAL INSTRUMENT - CHICAGO CLIMATE FUTURES EXCHANGE
RUSSELL 2000 MINI INDEX FUTURE - ICE FUTURES U.S.
AEP DAYTON OFF PK LMP SWAP - NEW YORK MERCANTILE EXCHANGE
GULF JET NY HEAT OIL SPR SWAP - NEW YORK MERCANTILE EXCHANGE
EUR 1% FUEL OIL NWE CAL SWAP - NEW YORK MERCANTILE EXCHANGE
INTEREST RATE SWAPS 10YR - CHICAGO BOARD OF TRADE
INTEREST RATE SWAPS 5YR - CHICAGO BOARD OF TRADE
MT BELVIEU PROPANE SWAP - NEW YORK MERCANTILE EXCHANGE
RUSSELL 2000 STOCK INDEX - ICE FUTURES U.S.
DATED TO FRONTLINE BRENT SWAP - NEW YORK MERCANTILE EXCHANGE
SING NAPHTHA SWAP - NEW YORK MERCANTILE EXCHANGE
CINERGY CAL MONTH LMP SWAP - NEW YORK MERCANTILE EXCHANGE
RGGI CO2 ALLOWANCE - CHICAGO CLIMATE FUTURES EXCHANGE
COLUMBIA GULF ONSHORE SWAP - NEW YORK MERCANTILE EXCHANGE
NW EUR HI LO FUEL OIL SPR SWAP - NEW YORK MERCANTILE EXCHANGE
EAST WEST FUEL OIL SPR SWAP - NEW YORK MERCANTILE EXCHANGE
RBOB UP-DOWN CAL SWAP - NEW YORK MERCANTILE EXCHANGE
